Wavelength (nm),Dual-Gs,Dual-Rho
806.99,0.000142771,-8.89E-04
807.739,0.000162628,-2.68E-04
808.489,0.000161813,6.02E-04
809.238,0.000111025,1.09E-03
809.987,9.13192E-05,9.88E-04
810.736,8.99794E-05,3.00E-04
811.485,5.88E-05,-5.57E-04
812.234,6.13E-05,-1.03E-03
812.983,9.32554E-05,-1.22E-03
813.732,0.000129182,-1.55E-03
814.48,0.000170269,-1.90E-03
815.229,0.000158109,-2.13E-03
815.977,0.000113236,-1.86E-03
816.726,0.000103797,-1.12E-03
817.474,7.00791E-05,-3.12E-04
818.222,7.12362E-05,1.00E-04
818.97,9.15845E-05,2.48E-04
819.718,9.03728E-05,8.22E-04
820.466,9.76724E-05,1.12E-03
821.214,0.000132606,8.99E-04
821.962,0.000110258,5.25E-05
822.71,0.000144788,-6.60E-04
823.457,0.000118637,-5.95E-04
824.205,0.000134632,-1.66E-04
824.952,0.000136142,8.79E-04
825.7,6.30E-05,1.16E-03
826.447,5.57E-05,1.01E-03
827.194,9.16447E-05,7.73E-04
827.942,0.000111933,1.40E-04
828.689,0.000143615,-3.73E-04
829.436,0.000134651,-1.01E-03
830.183,0.000141748,-1.35E-03
830.929,0.000136204,-1.73E-03
831.676,0.000120163,-2.13E-03
832.423,0.000164115,-2.53E-03
833.169,0.000167567,-2.34E-03
833.916,0.00013652,-1.77E-03
834.662,0.000105967,-1.05E-03
835.409,8.55561E-05,-5.16E-04
836.155,6.79E-05,-7.36E-04
836.901,0.000103999,-1.11E-03
837.647,0.00016514,-1.11E-03
838.393,0.000190129,-6.83E-04
839.139,0.000133886,4.37E-04
839.885,7.74543E-05,1.02E-03
840.631,5.10E-05,1.19E-03
841.376,6.71E-05,1.27E-03
842.122,5.26E-05,1.20E-03
842.867,0.000109112,1.65E-03
843.613,0.000145667,1.48E-03
844.358,0.000148385,9.66E-04
845.104,0.000132464,-1.40E-05
845.849,0.000116767,-1.20E-03
846.594,0.000130464,-1.67E-03
847.339,0.000173536,-1.81E-03
848.084,0.000166552,-1.26E-03
848.829,0.000199445,-3.86E-04
849.573,0.000181012,4.99E-04
850.318,0.000193549,1.34E-03
851.063,0.000181706,1.63E-03
851.807,0.000152224,1.78E-03
852.552,0.000135136,1.43E-03
853.296,0.000129988,8.02E-04
854.04,0.000122058,-2.31E-04
854.784,0.000130103,-8.48E-04
