Wavelength,Dual-GCaMP6f,Dual-tdTomato
607.781,0.035061348,0.728673077
608.545,0.033589272,0.717971288
609.31,0.033038001,0.709245787
610.074,0.031535243,0.703469531
610.838,0.031151637,0.698836923
611.602,0.029810648,0.693241872
612.366,0.02902091,0.684387189
613.13,0.028760204,0.675319937
613.893,0.027307478,0.66620034
614.657,0.026759605,0.658515953
615.421,0.025068854,0.653584377
616.184,0.025036371,0.649273771
616.948,0.02358292,0.643591161
617.711,0.023465856,0.63549537
618.475,0.022287684,0.629336347
619.238,0.02223016,0.623208854
620.001,0.021661164,0.614415084
620.764,0.020207263,0.605464564
621.527,0.020148163,0.595559871
622.29,0.019610132,0.588400159
623.053,0.019393896,0.582296499
623.816,0.01810002,0.574480441
624.579,0.017726833,0.564579062
625.341,0.018064756,0.557709241
626.104,0.01683901,0.548232644
626.866,0.016664736,0.540422667
627.629,0.016409425,0.53259774
628.391,0.015578421,0.521797218
629.153,0.015299372,0.512284536
629.915,0.014150353,0.503187293
630.678,0.01464131,0.497428089
631.44,0.014246617,0.49219769
632.202,0.013976677,0.483540865
632.963,0.014042955,0.475602552
633.725,0.012508899,0.467429639
634.487,0.012943556,0.46012897
635.249,0.012153564,0.451029718
636.01,0.011663479,0.442243279
636.772,0.012896335,0.435793914
637.533,0.011714667,0.427320429
638.295,0.011268229,0.418386162
639.056,0.011296765,0.410968125
639.817,0.010597866,0.40270092
640.578,0.010853696,0.394485163
641.339,0.010115322,0.385917088
642.1,0.009988974,0.377947918
642.861,0.009475925,0.371621967
643.622,0.010038663,0.364038466
644.383,0.009704912,0.358457407
645.143,0.009110777,0.353113439
645.904,0.009209656,0.344191254
646.664,0.009125271,0.335264015
647.425,0.008638976,0.327256725
648.185,0.008096577,0.319746116
648.946,0.009114606,0.313866611
649.706,0.007286451,0.307646093
650.466,0.008596181,0.302177014
651.226,0.008921158,0.294955757
651.986,0.00788272,0.289700602
652.746,0.008420751,0.285326781
653.506,0.007401635,0.275965137
654.265,0.007220574,0.272035204
655.025,0.008020878,0.266370302
655.785,0.006430866,0.259348404
656.544,0.006452185,0.252542342
657.304,0.007704822,0.244768845
658.063,0.006331732,0.238471136
658.822,0.006421318,0.232067768
659.582,0.007407559,0.226667201
660.341,0.007286284,0.223784222
661.1,0.004319941,0.219105257
661.859,0.006651813,0.21431818
662.618,0.005668284,0.208478697
663.377,0.005783282,0.20347338
664.135,0.005400674,0.200257046
664.894,0.005767682,0.196937735
665.653,0.005877754,0.193891471
666.411,0.005627967,0.189808166
667.17,0.004760405,0.186191184
667.928,0.004632118,0.182868472
668.686,0.004648884,0.178298744
669.444,0.004787414,0.17297729
670.203,0.003933396,0.169766985
670.961,0.004338528,0.167091382
671.719,0.00349489,0.163857748
672.477,0.003543384,0.16097857
673.234,0.004355401,0.156362628
673.992,0.004043439,0.152896047
674.75,0.004619769,0.150388179
675.507,0.00337245,0.146602284
676.265,0.003357506,0.142971222
677.022,0.003728206,0.140552457
677.78,0.003024831,0.137766135
678.537,0.003413883,0.135058584
679.294,0.004323084,0.132106829
680.052,0.003150455,0.130233926
680.809,0.003319509,0.127585973
681.566,0.002723308,0.123556304
682.323,0.003496212,0.120606551
683.079,0.003029082,0.118227619
683.836,0.001795795,0.116358243
